signum,transliteration,english
U 950,kunbiarn ' lit ' risa ' stin at ' [asif... ... ...u]n ' in nefkiR ' at ' broþur sin,Gunnbjôrn had the stone raised in memory of Ás-... ... son; and Nefgeirr in memory of his brother.
U 951 §A,kairkiRiþ-r : ouk : kiRmar litu : ha[ku]a §B at ouþmunt kiRimr : skalt hiu,Geirfríðr(?) and Geirmarr had (this) cut §B in memory of Auðmundr. Grímr Skald cut.
U 952,†$ [osuar · lit risa stain iftiR · tryk · sun sin askil · uk · stoþkil ' kamal ' ritu · at stoþbiarn ' faþuR],"†$ Andsvarr/Ásvarðr/Ásvôr had the stone raised in memory of Tryggr, his son; Áskell and Stóðkell the Old erected in memory of Stóðbjôrn, their father."
U 953 †,[foraystain · lit · ri... ... skarþa faþu... ...],Freysteinn had (this) raised/erected ... Skarði(?) father ...
U 954 †,[× þRu : aRrukr : fretr : ri--u : s... ...-r : helka : bruþr : sin : en : sasur : trab : han : ouk : kaþ · niþiks:uerk : seik : felka : sin : kuþ : helb : hut : has ×],"Eyríkr(?)/Auðríkr(?) and his kinsmen, they raised the stone in memory of Helgi, their brother. And Sassurr killed him and made (= did) a villainous deed, betrayed his partner. God help his spirit."
U 955 †,[× þorstin × auk × kura × litu × raisa × stin × eftiR × lafsa × faþur sin],"Þorsteinn and Gyra(?) had the stone raised in memory of Lafsi, their father."
U 956,' stniltr ' lit · rita stain þino ' abtiR ' uiþbiurn ' krikfara ' buanta sin kuþ hialbi hos| |salu| |uk| |kuþs u muþiR osmuntr kara sun markaþi,"Steinhildr had this stone erected in memory of Viðbjôrn, her husband, a traveller to Greece. May God and God's mother help his soul. Ásmundr Kári' son marked."
U 957,kerþar ' ok ' ulfr ' ok ulbiarn ' ok ' abiarn ok runi + þair ' litu hakua ' stain ' at ' iarl faþur sin ' arfriþ(r) at ' bonta sin,"Gerðarr and Ulfr and Holmbjôrn and Ábjôrn and Rúni, they had the stone cut in memory of Jarl, their father; Arnfríðr in memory of her husbandman."
U 958,[...tr ' sihniuta · is þita kiarþi sun · hans s]ihuiþr ' [runa þurhutr · risti],This is in memory of Signjóti. His son Sigviðr made the runes. Þorgautr carved.
U 959,[nesbiarn '] uk ' runa ' anutar ' totiR ' litu ' rita ' staina ' at ' s[uhik'ierf ' sun : sin],"Nesbjôrn and Rúna, Ônundr's daughter, had the stones erected in memory of <suhikierf>, their son."
U 960 $,+ hakuno ¤ auk ¤ ostriþr ¤ kirþu ... ¤ sun ¤ snialan ¤ saR × hit ×× iriks × kuþ × tr... ...,Hákon and Ástríðr made ... able son. He was called Eiríkr. Lord God ...
U 961 $,h(u)(l)-a + lit + raisa stain + þina at kitilbiarn ' faþur ' sin + auk runfriþ ' at ' bonta ' auk ihulfastr ' riþ ' in ' ubiR,"Hylia(?) had this stone raised in memory of Ketilbjôrn, his father; and Rúnfríðr in memory of (her) husbandman, and Ígulfastr arranged (it), and Œpir."
U 962,... at ' sik ' silfa... ...--[k]an ' in ' (r)[ai-]-(n) ' -(a)stgi[-],... in memory of himself while alive and ... Fastgeirr(?)
U 963,niskunukR + lit ... ...rn + faþur + sin + auk + ika + iftR + buota + sin + ku... ... þini × ikulburn + ak + kuþs muþiR,"Neskonungr had ... Ígulbjôrn, his father; and Inga in memory of her husbandman. God and God's mother ... your(?) [soul], Ígulbjôrn."
U 964,+ kitilfiriþR : lit : sitia : stin : for : ot : suins bunt... ...lukR : iuk : kinlau-aR,"Ketilfríðr had the stone placed for the spirit of Sveinn, (her) husbandman ...-laug's and(?) Ginnlaug's."
U 965,hulm×fri... ...,Holmfríðr ...
U 966,°,°
U 967,-au... ...fti(r) : faþur (s)in : ku-... ...-...,... in memory of his father ... ...
U 968,[stoþi · auk · sihtiarfr · þorker · lit]u · ris[t]a · stin at · aistu[lf · b]roþu[r ·] (s)in [sun þorkerþa],"Stóði and Sigdjarfr and Þorgerðr had the stone carved in memory of Eistulfr, their brother, Þorgerðr's son."
U 969,rahnuiþr ' lit ' rita st... ... ' faþur sin ' in osmunrt hiu,Ragnviðr had the stone erected ... his father. And Ásmundr cut.
U 970,uiþi ' lit ' rita ' stain ' e(f)[ti]R ...- ybiR,Viði/Víði had the stone erected in memory of ... Œpir
U 971 $ §P,: kunbiur : lit risa : stin : iftiR faþur -... ... : miti : kuþ : hulbin hins : krin... ...arþi uþ(r)ki §Q (-)unbiur : lit risa : stin : iftiR : faþur (:) [s]... ...[þ] : miti : kuþ : hulbin (h)ins : krin ... ...arþi uþu(r)ki (:),"Gunnbjôrn had the stone raised in memory of his father ... May gentle(?) God help ... ... §Q Gunnbjôrn(?)/Unnbjôrn(?)/Gunn-Bjúr(?)/Unn-Bjúr(?) had the stone raised in memory of his father ... May excellent God help. Hein’s(?) Grein(?), he(?) made the ford construction."
U 972,†$ [(i)(n)k(i)u(a)r uaþ trofast · uk usrik × litu × rita × stain × at · trk-k-a kuþan · sturbiurn ×],"†$ Ingvarr(?) and Trúfastr(?) and Húsríkr(?)/Ósríkr(?) had the stone erected in memory of a good valiant man(?), Styrbjôrn(?)."
U 973,siriþ l... ...(u)n huki ' frenta ' sinum ' in ' iar ati ' rikr ' h(u)-... ... in ybir risti,Sigríðr had ... her kinsman. And here the powerful owned ... ... And Œpir carved.
U 974,þaiR inkulfr ' uk ' yntr ' litu ' raisa ' st(a)-n i(f)tiR inkialt ' broþur sin uk ' sun ' kunulfs ·,"Ingulfr and Eyndr, they had the stone raised in memory of Ingjaldr, their brother and Gunnulfr's son."
U 975,kunar,Gunnarr
U 976,astiarfr lit ' risa stain ' iftiR ' asfast ' broþur sin,"Ásdjarfr had the stone raised in memory of Ásfastr, his brother."
U 977 †,[ernfriþ ok is...st litu · ra--a · sten · eftiR · kunar · faþur · sin · ok · kitulbiurn · ok · kilok · at · bonta sin fastulfr ok · iyruntr · at broþur sin],"Ernfríðr and ... had the stone raised in memory of Gunnarr, their father; and Ketilbjôrn and Gillaug in memory of their husbandman; Fastulfr and Jôrundr in memory of their brother."
U 978,sihuiþr ...-i + stain + þina + iklats+fari + iftir + uitarf + faþ(u)(r) [+ -... ...sia]... ...ku---,"Sigviðr, traveller to England, raised this stone in memory of Védjarfr, (his) father ... ... ..."
U 979,°,°
U 980,[× ailifr × auk siku]iþr × li[tu × raisa × stain × iftiR + uifast] × faþu[r × sin +],"Eilífr and Sigviðr had the stone raised in memory of Véfastr, their father."
U 981,=U_980,=U_980
U 982 †,[... · ufti : uifast : faþ-... ... ...],"... in memory of Véfastr, his father ..."
U 983,linkntiþt ·: nmui : knit... × tsu-...,... ... ... ...
U 984,†$ [uisiti ' uk ' likuiþr ' uk ' rikuiþr ' litu · raisa ' stain ' at huikaiR · faþur · ybiR risti],"†$ Véseti and Líkviðr and Ríkviðr had the stone raised in memory of Holmgeirr(?)/Végeirr(?), (their) father. Œpir carved."
U 985,karl ' lit ' raisa · stain · iftiR ' uikaiR ' faþur ' sin an uar sun stufials uk systrsun kulaug,"Karl had the stone raised in memory of Végeirr, his father. He was Styfjaldr's son and Gullaug's sister's son."
U 986,†$ [+ ali ' auk sihualti ' uk ' inkifast ' litu rita stin þino ' abtiR ' ka^nilf · buanta inkifastaR auk faþur ala osmunrt ' risti],"†$ Áli/Alli and Sigvaldi and Ingifast had this stone erected in memory of Gelfr(?)/Kalfr(?), Ingifast's husbandman and Áli's/Alli's father. Ásmundr carved."
U 987,katil ' auk| |kuriþr ' litu rosa stin þino × oftiR þurstin sun sin uiþi auk rikuiþr ' þiR ristu ston aftiR bruþur sin × kuþ hialbi on þurstins ',"Ketill and Gyríðr had this stone raised in memory of Þorsteinn, their son. Viði/Víði and Ríkviðr, they raised the stone in memory of their brother. May God help Þorsteinn's spirit."
U 988 †,[...soun ouk : þaiR (u)iu...],... and they ...
U 989 M,a[r]nu[ai-] i[or]uidr,Arn-... Jôrundr
U 990,' uaþr + auk × þakn × auk × kunar + raistu × stain + þana × at × haursa × foþur sin + kuþ hialbi ot hans ×,"Veðr and Þegn and Gunnarr raised this stone in memory of Haursi, their father. May God help his spirit."
U 991,× þiakn × [a](u)k × kunar × raistu × staina + aftiR × uaþr × bruþur + sin +,"Þegn and Gunnarr raised the stones in memory of Veðr, their brother."
U 992,... ...(u)stain × foþur×foþur × sin × auk × at ×: kuþsrik + foþur × sin × auk × at × kunu ...,"... his father's father Eysteinn, and in memory of Guðríkr(?), his father, and in memory of Gunna ..."
U 993 $,ion · u(k) iufur[-ast litu r]aisa ' stin uk ' bru ' iftiR ' uiha ' faþur ' su[n] ' istin[s ybiR · rist-] biarn,"Jón and Jôfurfast had the stone raised and the bridge (made) in memory of Vígi, (their) father, Eysteinn's son. Œpir carved. Bjôrn."
U 994 †,[... itftim þuatr ...],... in memory of <þuatr> ...
U 995 †,[anuntr · uk · iuruntr · uk · sihiuiþr · þiR litu · raisa · ... yk · bro uikt... ...faþi... ...in...],"Ônundr and Jôrundr and Sigviðr, they had ... raised ... and the bridge ... ... ..."
U 996 $,ainkriþ × auk × in[k]ik[i]r · l[i]tu × r[i]sa × stin · auk ' kera ' aur ' u(t)a (i) (s)u[n]ti ' iftiR ' þuri ' faþur [s]in ' þur-- ...(t) ' kira ' siluaus ' iftR ink-[þu]ru × kunu · sina ' auk ' iftR ' -(a)(r)tu iaR,"Ingríðr(?) and Ingigerðr/Ingigeirr had the stone raised and the ford made out in the sound in memory of Þórir, their father. Þórir(?) had the hospice made in memory of Ingiþóra, his wife, and in memory of <-artu> ..."
U 997,rikuiþr × lit rai(s)a × stina eftR × ihul × faþur × sin,"Ríkviðr had the stones raised in memory of Ígull, his father."
U 998 $,þurstin : auk ronti : [litu : raisa : stain þino : abtiR s-ar-(h)(a)ufþ]a : bruþur sin : kuþ hialbi hons| |salu| |uk| |kuþs muþiR [osmun](r)t ' markaþi,"Þorsteinn and Randvé had this stone raised in memory of Svarthôfði, their brother. May God and God's mother help his soul. Ásmundr marked."
U 999,haursi : auk : kitil : raistu : aftir : þekn : faþur : sin : staina : þisa : at : bunta : kuþan : o : funum,"Haursi and Ketill raised these stones in memory of Þegn, their father; in memory of the good husbandman of Funnir/Fúnir."
U 1000 †,[histni... ...ki... ...saþ-t-hluRaka sþitRlunkhþ],... ... ... ...
U 1001 $,°,°
U 1002,...-sbi...,...
U 1003 $,[× runfast lit rita stin þino · a]btiR r[uia faþur sin uk hilþintis at buanta sin hon uarþ tau]þr i hu[l(m)karþi (k)uþ hialbi ant · suni kuþilfa],"Rúnfastr had this stone erected in memory of Rúni(?), his father, and Heðindís in memory of her husbandman. He died in Holmgarðr. May God help the spirit of Guðelfr's son."
U 1004,°,°
U 1005,kisl ' lit ' [risa · stin ' at · toli ' faþur · uk · at · iufur · broþur · uk · erfast · sun · sin],"Gísl had the stone raised in memory of Tóli, (his) father and in memory of Jôfurr, (his) brother and in memory of Ernfastr, his son."
U 1006,uikterfr auk ' iuruntr · auk · sikbiar[n · litu ·] risa · stain · iftiR · suar[t]unk · faþur · sin,"Vígdjarfr and Jôrundr and Sigbjôrn had the stone raised in memory of Svartungr, their father."
U 1007,ouþbian lit rita · st(i)(n) ' aftiR · faþur · sin ' sihborn ' moni risti · runa,Auðbjôrn had the stone erected in memory of his father Sigbjôrn. Manni/Máni carved the runes.
U 1008 $,[kuni lit · rasa · stain · e]ftiR ki---uku · kunu [sino ·] (k)uþ h[ialbi ont en]or,"Gunni had the stone raised in memory of Ginnlaug, his wife. May God help her spirit."
U 1009 $,uaiþr ...---- ' litu rita stin þino abtiR ' fastbiurn ' faþur si(n),"Vreiðr/Veðr ... had this stone erected in memory of Fastbjôrn, their father."
U 1010,þo(r)mu(t)r ' (o)k l-khas ok (þ)e(f)a × litu rita stin · etiR ' faþur sn ' þiumunt-,Þormundr and <l-khas> and <þefa> had the stone erected in memory of their father Þjóðmundr.
U 1011 §A,uihmuntr ' lit ' agua · stain · at ' sig ' selfon ' slyiastr ' mono ' guþ ' ia[l]bi (s)ial ' uihmuntar · styrimons §B uihmuntr · auk ' afiriþ : eku merki ' at kuikuan · sik ·,"Vígmundr had the stone cut in memory of himself, the most skillful of men. May God help Vígmundr the captain's soul. §B Vígmundr and Áfríðr cut the landmark in memory of themselves while alive."
U 1012,sbraki ' uk þur'biurn ' uk uþuhin ' uk| |kinlauh ' uk (a)friþr ' þaun litu rita ' aftiR biurn faþ(u)- (s)in,"Spraki and Þorbjôrn and Óþveginn and Ginnlaug and Áfríðr(?), they had (this) erected in memory of Bjôrn, their father."
U 1013,†$ §P [ansua...] (r)---(t)i : stai[na : þisa : þrea : ... : in : hia--ot · a...] §Q [ansua...] (r)--[s](t)i : stai[na : þisa : þrea : ... : ...in : hia-- ot : a...],†$ §P Andsvarr(?) raised these three stones ... ... ... §Q Andsvarr(?) raised these three stones ... May the Lord(?) help his spirit.
U 1014 $,iolmkeR ' lit ' raisa ' stain ' ifti[R ' iulfast ' uk '] suartufþa ' suni ' sina ',"Holmgeirr/Hjalmgeirr had the stone raised in memory of Ígulfastr(?) and Svarthôfði, his sons."
U 1015 $,iofur ' lit ' rita ' sten [' yftiR · sun sin · y](r)in(k) (u)k ' iofastu · kunu · sinn,"Jôfurr had the stone erected in memory of his son Œring, and Jófast, his wife."
U 1016 $ §P,· liutr : sturimaþr · riti : stain : þinsa : aftir : sunu · sina : sa hit : aki : sims uti furs : sturþ(i) · -(n)ari · kuam ·: hn krik·:hafnir : haima tu : ...-mu-... ...(k)(a)(r)... (i)uk (r)(u)-(a) · ... §Q · liutr : sturimaþr · riti : stain : þinsa : aftir : sunu · sina : sa hit : aki : sims uti furs : sturþ(i) · -(n)ari · kuam ·: hn krik · : hafnir : haima tu : ...-mu-... ...(k)(a)(r)... (i)uk (r)(u)-(a) · ...,Ljótr the captain erected this stone in memory of his sons. He who perished abroad was called Áki. (He) steered a cargo-ship; he came to Greek harbours; died at home ... ... cut the runes ... §Q Ljótr the captain erected this stone in memory of his sons. He who perished abroad was called Áki. (He) steered a cargo-ship; he came to Greece. Hefnir died at home ... ... cut the runes ...
U 1017,[fastulfr · lit · rita · stin · iftiR · hulf]ast [runiriþ lit · iftiR · osihik · faþur sin uk · bru · kra] al a(s)[li]ks --,"Fastulfr had the stone erected in memory of Holmfastr; Rúnfríðr(?) also had the bridge made in memory of Ásleikr(?), her father ... Ásleikr's(?) ..."
U 1018,agotihi ' ok ' sarthuþ[ihi · litu · reta · ste]n ' yftiR ' faþu ' sn · hialmger,Ágoti(?) and Svarthôfði had the stone erected in memory of their father Hjalmgeirr.
U 1019,(i)o[l](a)tr · ok himikr · li(t)(u) · rita · stain · etifR · faþur · s[n ih]ulfast,<iolatr> and Hemingr had the stone erected in memory of their father Ígulfastr.
U 1020,[ku](þ)fast[r] · li[t] · [raisa] · stin ... · fastulfr ·· rui... ...[st]i · bru · as[uh]k,Guðfastr had the stone raised ... Fastulfr ... ... the bridge ...
U 1021,[uihbirn · l]it · r[a]i[sa s... ... if--R --k...],Vígbjôrn had the stone raised ... in memory of ...
U 1022 $,[ui]kn[i · a]uk · althrn · uk ailifr · akhun · runfriþ · litu · rita · stain · if(t)iR ilhu[tfa k]aþur · sin ub(i)(R) [· r...st...] (r)(u)(a)[a],"Vígi(?) and Halfdan(?)/Eldjarn(?) and Eilífr (and) Hákon (and) Rúnfríðr had the stone erected in memory of Illugi(?), their father. Œpir carved the runes."
U 1023 †,[kiatilborn · ok · fasta · litu × rita stainn · etiR · faþur sn irnfatr],Ketilbjôrn and Fasta had the stone erected in memory of their father Ernfastr.
U 1024 $,semuntr · li[t · rita · s](t)en ' yftiR · stenkisl · mah [·] sen,"Sæmundr had the stone erected in memory of Steingísl, his kinsman-by-marriage."
U 1025 †,[anuntr ' uk ' þorbiarn ' li-u · rita sitn yftiR · katelmunt · bruþur],"Ônundr and Þorbjôrn had the stone erected in memory of Ketilmundr, (their) brother."
U 1026,brantr ' uk ' sihuiþr ' litu ' risa ' stin ' at ' munta ' broþur,"Brandr and Sigviðr had the stone raised in memory of Mundi, (their) brother."
U 1027,...[(n) '] uk ' ihul ' uk ' gisl ' uitr ' li... ...,... and Ígull and Gísl (and) Eyndr(?) had ...
U 1028,... asbiurn · (a)uk i[n]-... ... ...--[k](u)r(u)... ...---...na-... ...anti kuþ suiki · þa iR h[a] sui[k]u,... Ásbjôrn and ... ... ... ... ...-land(?) May God betray those who betrayed him.
U 1029 †,[...],...
U 1030 †,[-ami-turu · lit kira marka| |at · irmunt sun sin kaeri],"<-ami-turu> had the landmark made in memory of Ernmundr, his dear son."
U 1031,[sihtia]rf ' auk humbiurn ' [auk þur](b)iurn ' þiR lit[u] r[i](t)a stin þino auk b[ru · kira at iu]n faþur · [sin],"Sigdjarfr and Holmbjôrn and Þorbjôrn, they had this stone erected and the bridge made in memory of Jón, their father."
U 1032,[suth]i auk · iki[fastr · litu] rita [stai]n ' iftiR × ikalt ' uk ' (f)[tiR ikhu]ar · fe[þr si]na · kuþa · i,"Sóti and Ingifastr had the stone erected in memory of Ingjaldr and in memory of Ingvarr, their good fathers ..."
U 1033 §A,nasi × auk : þair : bruþr : raistu : stain : þisa × §B aftir : iarl : faþur : sin : kuþan : auk : bru : kus : þaka × kiarþu ×,"Nasi/Nesi and his brothers raised this stone §B in memory of Jarl, their good father, and made the bridge as thanks to God."
U 1034,þorbia(r)n ' auk ' þorstain ' uk ' styrbiarn ' litu raisa stain ' eftiR ' þorfast ' faþur sin ybir risti,"Þorbjôrn and Þorsteinn and Styrbjôrn had the stone raised in memory of Þorfastr, their father. Œpir carved."
U 1035 $,...kiat auk ... ...u rita stin þina| |aftiR kuih faþur sin si(k)[r]iþr at buanta si...,"... and ... had this stone erected in memory of Kvígr, their father; Sigríðr in memory of her husbandman."
U 1036 $,sihuastr ' uk ' bratr ' uk ' uikitil · elha ' lit ' rita stin eftiR ' anhuit ' sun ' sin ' sum ' tauþr ' huita'huaþum ' (k)ristr ' ialbi ' sial ' antuita,"Sigfastr and Brandr and Véketill. Helga had the stone erected in memory of Andvéttr, her son, who died in christening robes. May Christ help Andvéttr's soul."
U 1037,†$ [... lit hakua ... ...fast · faþur · sin · noa... ...ustur · s...a ka...],"†$ ... had ... cut ...-fastr, his father, ... his sister ..."
U 1038,†$ [hiþibiarn · lit · raisa · stain × at alah broþur sin l--kiri...rn hia],"†$ Heðinbjôrn had the stone raised in memory of Áli/Alli, his brother ..."
U 1039 $ §AP,sthotbiarn ' auk istain ' (r)itu siin ' yftiR ' fnþur sin kula ' mesku ' g|i|r|i| |g|i|r|istr [li](t)in · sahlu hos §AQ sthotbiarn ' auk istain ' (r)itu siin ' yftiR ' fnþur sin kula ' mesku ' giristr [li](t)in · sahlu hos §B kiulin ' ristiR ' runo ' þas ' kitiluha ' hit ' kuino ' has ' auk ' uielf/uielf^r,"Stóðbjôrn(?) and Eysteinn erected the stone in memory of their father Gulli(?). May Christ have mercy(?), relieve his soul. §AQ Stóðbjôrn(?) and Eysteinn erected the stone in memory of their father Gulli Myskja. May Christ relieve his soul. §B Kjúli(?) carved these runes. His wife was called Ketillaug/Ketillauga. And Véelfr."
U 1040 $,futan ' lit risa ' stin yftiR ' sk| |kouikon ' osn--... ' ki-ilmutr ' kiuli rsti,Fundinn had the stone raised in memory of himself while alive ... Ketilmundr. Kjúli(?) carved.
U 1041,iahbaþr ' ok ' inkikieþr ' litu ' rita sena iftR faþur sin ' runfastr ' ok ' iftR ' runu ' moþur sena ' ikulfr ' risti runi ahbaþr kiaþi bro ·,"Hagbarðr and Ingigerðr had the stones erected in memory of their father Rúnfastr and in memory of Rúna, their mother. Ingulfr carved the runes. Hagbarðr made the bridge."
U 1042 $,rikatr ' lit r[e]sa ' st[en yftR · biur · faþu sn ouk mþur sifriþ · usnikin] ' kuli risti ' run,"Ríkhvatr had the stone raised in memory of Bjôrn/Bjórr, his father, and his mother Sigríðr. Ósníkinn. Kjúli(?) carved the runes."
U 1043,u[lfr ·] auk ' kuþfastr ' auk| |kuþ[muntr ' þ-... ...it]u rita stin þino ' aftiR ufih ' fa[þ]ur s(i)n ' kuþ hinlbi ont (h)-ns,"Ulfr and Guðfastr and Guðmundr, they had this stone erected in memory of Ófeigr, their father. May God help his spirit."
U 1044,[kitil · lit raisa st...] ... ...þur sin k[ulha| |at bonta sin],Ketill had the stone raised ... his father; Gulla in memory of her husbandman.
U 1045,' biarnaffþi ' lit ' hakua ' stain ' at ' biarnafþa ' faþur ' sin -ak-- ' s...- ' at ',"Bjarnhôfði had the stone cut in memory of Bjarnhôfði, his father ... ..."
U 1046 $,...ikaiR lit resa sten auk ' kera ' buro ' eftiR ' siiterf · buroþur · sin,"...-geirr had the stone raised and the bridge made in memory of Sædjarfr/Sigdjarfr, his brother."
U 1047,ayka-R ' auk ' kitilbiarn ' auk ' keisl ' auk ' ihul ' litu ' rita sten ' eftiR hybiarn faþ ' sin ',"Eygeirr and Ketilbjôrn and Gísl(?) and Ígull had the stone erected in memory of Eybjôrn, their father."
U 1048,kilauk ' lit ' hakua ' at ' i(o)rut · sun sin ' (t)o ' i haiþaby,"Gillaug had (the stone) cut in memory of Jôrundr, her son. (He) died in Hedeby."
U 1049 †,[...i · lit · rita · ...],... had erected ...
U 1050,hulmkair ' ... ...itu h--ua a[t] ' a(i)s[t] faþur sin,"Holmgeirr ... had ... cut in memory of Eistr, their father."
U 1051,fastulfr ' lit ' rita stan etR ' suar sin ' ok ' iofast ' eftR ' uihmt ' faþu sen,"Fastulfr had the stone erected in memory of his father-in-law and Jófast in memory of Vígmundr, her father."
U 1052,kefialtr ' ok + borfas[tr ' ok ' anituitr ×] (o)k + þelfi + þaR ' [litu] + rita + stin + etiR + ion + freta + sin ikulfr ' iok ' stin ' þelfi + iok sten,"Gjafaldr and Borgfastr and Andvéttr and Þjalfi, they had the stone erected in memory of Jón, their kinsman. Ingulfr cut the stone. Þjalfi cut the stone."
U 1053,[katl · ok iku]lef þaon ltu kea mrki iftR kul sun si[n (o)k · ketilmun],"Ketill and Ingileif, they had the landmark made in memory of Kolr(?), their son, and Ketilmundr."
U 1054,...oias... ... ...þfastr hi... [...skatnik faþur -...],... ... Guðfastr cut(?) ... father ...
U 1055,†U °,†U °
U 1056,uiseti ' auk ' iufur ' litu ' raisa ' stain eftiR ofahi ' faþur · sai,"Véseti and Jôfurr had the stone raised in memory of Ófeigr, their father."
U 1057 $,si(b)... ... ...-sa ' stino yftiR ' sen,... ... the stones raised in memory of his/Seinn.
U 1058,†$ [kahu ok uhi · ristu runa... ...],†$ Kagr(?)/Gagr(?) and Hugi carved the runes ...
U 1059,... ...it ' r-... ... [siþ]mi...,... had ... erected ...
U 1060 $,hulmkair ... [karl · lit]u ' h(a)[(k)](u)a ' aist faþur ' sin,"Holmgeirr and Karl had (the stone) cut in memory of Eistr, their father."
U 1061,...,...
U 1062,kakulfr ' ok benuiþr ' litu ' rita ' sten ' iftR ooþbiarn ' sun in,"Gangulfr(?) and Beinviðr had the stone erected in memory of Auðbjôrn, their son."
U 1063 $,st[yn]friþ ' (a)u(k) ' hulmfriþ : litu : raisa : stain : eftiR : (þ)... ...(a)þur ' sin · --... ...[runir] ybiR risti runa,Stynfríðr/Steinfríðr and Holmfríðr had the stone raised in memory of ... their father ... Jôrundr(?) Œpir carved the runes.
U 1064 †,[bia... ... raisa + sten ... ...bi + ant + ... risti runaR · þisr],Bjôrn(?) ... the stone raised ... may help (his) spirit ... carved these runes.
U 1065 $,runuiþr ' lit risa ' sin yftR ' suain ' faþur sin ...in k(l)s-i iufur ' ok ' fuks ' litu risa stin yftiR faþur sin kara,"Rúnviðr had the stone raised in memory of Sveinn, his father ... Jôfurr and Foks had the stone raised in memory of their father Kári."
U 1066,: biurn : auk :: þurkil : þiR : ris(t)u + kumbl : þisi : al : iRu :: kiþbi- : a :,"Bjôrn and Þorkell, they raised all these monuments ..."
U 1067,¤ (u)talfriþR : raisti · staina + þisa a-tR · styr · faþur : sin · (k)...þ hilbi · ant þira bratr hiuk run-R,"Óðalfríðr/Óðalfreðr raised these stones in memory of Styrr, her/his father. May God help their spirits. Brandr cut the runes."
U 1068,... ' hagua ' stain ' at ' i-kuar ' faþ... ... ...anta ' (s)in,"... the stone cut in memory of Ingvarr, father ... her/his husbandman."
U 1069 $,iolfast + lit + rita + sten + yftiR + son sin + asa + auk + ersten + yftir rul(u)r,Ígulfastr/Hjalmfastr had the stone erected in memory of his son Ási; and Ernsteinn in memory of ...
U 1070,tatr ' auk ' kamal ' litu ' rita ' sti[n ' ifti]R ' þorþ ' faþur sin,"<tatr> and Gamall had the stone erected in memory of Þórðr, their father."
U 1071,m,...
U 1072,þorka- ' -(u)- ' -(u)--- ' (b)(r)(a)n(t)(r) ' ---... n-...- ' ... ' ybir ' risti,Þorkell and ... Brandr ... ... ... Œpir carved.
U 1073 †,[iufur · uk stoþbiarn · litu ... ... ...kifast · faþur · sin ×],"Jôfurr and Stóðbjôrn had ... in memory of Ingifastr, their father."
U 1074 †,[asfriþ --- hakua × stan × at × tierf · sun · sin · nasi · at · broþur · sin likbiarn hiak + merki],"Ásfríðr had the stone cut in memory of Djarfr, her son; Nasi/Nesi in memory of his brother. Líkbjôrn cut the landmark."
U 1075 †,[ulifr × ok · þ--s-an + litu · r... ... ...R · kunar faþur · sin · ikulfr ·],"Óleifr and Þorsteinn had the stone erected in memory of Gunnarr, their father. Ingulfr."
U 1076 †,[antuitr lit × hakua × stnin + þina + at + kuti · broþur · sin × ...o--],"Andvéttr had this stone cut in memory of Goti, his brother ..."
U 1077 $,... ...-tiR : ref : nha bi-kumr : þoRna...,... in memory of Refr/Reifr. He ...
U 1078 †,[...s(k)ar...],...
U 1078B,... ...(i)sa ' stain ' ift... ...,... the stone raised in memory of ...
U 1079 $,[fas](t)i · lit · h(r)[ita · stan eftiR ·] (f)astuiu · kun[u si]nh,"Fasti had the stone erected in memory of Fastvé, his wife."
U 1080 $,[sihatr · auk · karl litu · raisa st... efti]R · halftan · faþur si[n ·],"Sighvatr and Karl had the stone raised in memory of Halfdan, their father."
U 1081,[b]or[f]... ... ...[f]astr · litu hakua · at ketil[f]ast broþur · sin ·,"Borgfastr(?) and ...-fastr had (the stone) cut in memory of Ketilfastr, their brother."
U 1082 †,[...urli...],...
U 1083,†$ [arta · lit · hakua · stain · at · faþur · sin nefkair · ok · hiþinfast · at · bonta · sin ik · ystain · at broþra sin],†$ Arta(?) had the stone cut in memory of his father Nefgeirr; and Heðinfast in memory of her husbandman; and Eysteinn in memory of his brother.
U 1084,abiarn ' uk ' inkialtr ' uk ' eminkr ' litu ' rita ' stain ' iftiR ['] biarn ' faþr ' sin ',"Ábjôrn and Ingjaldr and Hemingr had the stone erected in memory of Bjôrn, their father."
U 1085 $,kulefr ' u(k) ' s[i]oli ' litu ' risa ' iftiR ' ikifast ' sun [' i]arunta,"Gulleifr and Sjóli had (the stone) raised in memory of Ingifastr, Jôrundr's/Jôrundi's son."
U 1086 †,[iufur × lit raisa · stain at · uikbiarn faþur],"Jôfurr had the stone raised in memory of Vígbjôrn, (his) father."
U 1087 †,[fastui · lit · risa stain · iftiR · karþar · auk · utirik suni · sino · onar uarþ tauþr i girkium ·],"Fastvé had the stone raised in memory of Gerðarr and Ótryggr, her sons. The other (= the latter) died in Greece."
U 1088 †,[amrigar olnfuir : aok kaitluastr · aok · gatilRutr · aog · sneribiar + -þon · litu · risa stan ...uu sin],"... ... and Ketilfastr and Ketilmundr and Snerribjôrn, they had the stone raised ... their ..."
U 1089,uihi ' lit raisa stain eftiR inkialt ' faþur ' sin iufurfas[t '],"Vígi had the stone raised in memory of Ingjaldr, his father. Jôfurfast."
U 1090 †,[...r · uk · inkimunt fit- : bryþr · sin · auk · inkifriþ ...],... and Ingimundr ... their brothers; and Ingifríðr ...
