Sample_ID,Source,Reference,Target_Language,qwen3.5:0.8b_translation,qwen3.5:2b_translation,qwen3.5:4b_translation,qwen3.5:9b_translation
56,§A ... ...ina : ok (l)... (þ)ena,§A ... stones and ... this §B had made ...,de,sagt... das ist richtig!,S ... in: Ok (l) ... (Þ)ena,"...ina: Glück (oder L...), Segen (oder þ...),",...ina: ja (l)... (þ)ena
57,-ikfastr : ak × une... ... ...a × eftiR × iluka × fþu... ...,"Sigfastr and Ónæmr ... ... in memory of Illugi, (their) father …",de,"die altnordische transliteration ist für ""das Ungeheuer"" bzw. eine bestimmte Art von Bösegeist.",Gib mir nur die deutsche Übersetzung aus.,"Ich kenne nicht, was das Schicksal meiner Seele wird, wenn ich sterbe.",nicht schnell: ein mal eine ... ... ... a mal oft über iluke nach fü ... ...
58,[turi : sati : stin : þonsi : aftir : askut : bruþur : sin : iar : barþi : iattin : þikra : i : iatustun : auk : brunia : fik : harþa : kuþan *],"Dýri(?) placed this stone in memory of Ásgautr, his brother, who lived(?) in Jǫtunstaðir(?) and Brúni, a very good valiant man.(?)",de,"Dür, die Schätze sind da und in den Händen; die Hölle soll nicht kommen. Die Sonne wird zu Sturm; der Wind sei unruhig. Die Kinder sollen weinen, das Mädchen ist traurig, der Hund schwirrt und schläft. Die Frau ist verheißtlich; es gibt keine Zeit für einen guten Tag. Der Geist steht bei dir und hat die Schätze zurückgegeben; den Geist habe ich in den Händen. Wir sind glücklich, wir sind nicht zu leiden; das Tier soll erregt werden.",[der Wille: die Ruhe: der Stein: der Bunt: nachher: das Auge: der Bruder: das Sein: das Jahr: der Bartherz: das Iatten: die Krücke: ich; mein: der Harze: das Kuthan *],Turi Sati Stin þonsi aftir askut bruþur sin iar barþi iattin þikra i iatustun auk brunia fik harþa kuþan. [Ende],"für die Schwestern der Enkelinnen von Askus: Bruders Söhnen. Die Stiefsöhne des Hartha, des Geächteten, sollen den Fiskus belasten."
59,× þorkis[l] -uk × þorstin auk × uibiarn × auk × olifr × --tu × raisa × stin × eftiR × þorbiarn × faþur × sin,"Þorgísl and Þorsteinn and Vébjǫrn and Óleifr had the stone raised in memory of Þorbjǫrn, their father.",de,"Nun in den Bergen, die du siehst, war ein Mann von großem Sinn. Ein Bauer namens Furst und Schauspieler, der den Namen Rana aufhielt. Der Herr war auch ein Mann großer Stärke. Er sprach mit dem Wasser im Garten und ging zum Schlachtfeld; ihm wurde ein König gegeben, der seine Kraft hatte.","Tora, Torstein, Uðbjörn, Þórir, Rǫsi.",Törkislauk - Auk – Ulbier – Auc – Olif – Tu – Ris – Stein – Eftir – Thorbjörn – Vater – dein,"Thoris [l] und Thorstin sowie Ubjörn und Olfr, dessen Vater Stein war, der danach Þorbjörn"
60,+ suain + auk + biarn × auk × ikulfastr × litu × raisa × stin × eftiR × ikul × faþur × sin ×,"Sveinn and Bjǫrn and Ígulfastr had the stone raised in memory of Ígull, their father.",de,Sünn auik biaran x auik x ikulfast x litxraus x stin x eftir x ikul fathur x sin.,"Gehorfens und geschmiedet aus Silber von einem guten Mann, ein Mann des Lichtes.",Und ein Vater und ein Sohn,"und Suain und Bjarne und Ikkulf der Schnellleerende schlugen mit Steinen auf Stein nach, daraufhin Ikkul den Vater seiner"
61,...--- × lagþu × s... …,... laid the stone ...,de,die ...×lagþu... ×s...,Sie hat ihr Lügen aufgetischt und sie ist von ihnen erwischt worden,...−× lagþu × s...,...--- das Gut des ... …
62,a=u=æ ÷ maria ÷ iæssus + {ANNO : DOMINI : MO : CCCO : XLO : QUINTO : DECIMO : SEPTIMO : KLAS : AUGUSTI : CURATO : ECCLEIE : DOMINO : OLAUO : TUTORIBUS : ECCLEIE : GEDSTAUO : ET : NICHOLAO : HAQUINUS : FUDIT : HANC : CAMPANAM : MAGNO : REGE : SUECIE : DNO : SIGGONE : EPISCOPI : SCARENSI} : +,Ave Maria Jesus. {Anno domini millesimo trecentesimo sexagesimo quinto decimo septimo kalendas augusti curato ecclesiae domino Olauo tutoribus ecclesiae Gedstauo et Nicholao Haquinus fudit hanc campanam Magno rege Sueciae domino Siggone episcopo Scarensi.},de,"Gib NUR die deutsche Übersetzung aus. Keine Labels, Erklärungen oder zusätzlichen Text. Deine Antwort muss nur die Übersetzung sein, nichts anderes.","Herr Maria, Iæsus. {ANO : Domini : Mo : Cco : Xlo : Quinto : Decimo : Septimo : Clas : Augusti : Curato : Eccleie : Domino : Olauo : Tutoribus : Eccleie : Gestauo : Et Nicholaoh : Hauinoh : Fundit : hanc : Campanam : Magnoh : Rege Suecice : Dno : Siggonoh : Episcopi : Scarensi} : +","Im Jahr unserer Herre 1075 im achten Monat der August, unter der Aufsicht der Kirche, Herrn Olaus und seinen Tutoren Nicolaus Haquin hat diese Glocke großer König Siggon von Schweden gesetzt.","Maria und Jesus im Jahre des Herrn 850. unter der Fürsorge von Olaav, dem Schutzpatron der Kirche in Gesthuum, sowie Nikolaus. Haquinus stellte diese Glocke her auf Befehl eines großen Königs Schwedens, des Herrn Sigga, unter dem Bischof Skaren."
63,§A -uki : os^a : b : r^aisþ^a : u^ar : aft : -^t-a^þ : -(i)- : nafis §B : þo : is : o(s)(i) : --- : þ^aþa^n : (a)(u)- -u^a : staina : þisa : -----,§A ... §B …,de,§A: -uki: os²b raḷth¹ a¹ u¹ar a³f⁻t³ⁱaṛⁿi fāsi,§A -uki: os¹² a: b¹² raisþa: uar: aft: -t-a:þ: -(i): nafis §B: þo: is: o(s)(i) ---: þáñan: (a)(u) -u: staina: þisa,"Die Frau, die auf dem Steine steht, sagt es: Der Mann ist nicht hier.","§A: -uki ist ein Stein, der auf dem Rücken liegt und nicht entfernt werden kann; §B: dazu gehört, was dort liegt, dieser Stein."
64,... : þensa : iftir : eskil : (b)(r)-(þ)... …,"... this in memory of Áskell, brother …",de,die ist von ruten; ein wärts der rüder; ein schi-ling: dergl.,... : thæs : iftēr : eǫscil : (b)(r) - þ...,... : zu denken : über : Eskil : ...,... : desjenigen : hinter : Eskil : ...
65,+ BONDO FRISO ME FECIT | ESGERVS RØTH ME FECIT : FIERI | fuþorkhniastblmy---,"Bondo (the) Frisian made me, Esgervs Red had me made. Golden numbers.",de,"Der Befehl zu Bondo friso me fecit ist für den Söhne von Bundo, also zur Tochter der Frau. Die Ehe wurde unterbrochen. Sie haben ein Kind namens Egesers Rød gemacht.","Gibt es einen Fehler in der Einreiseerlaubnis? Ich möchte gerne wissen, was Sie dazu sagen wollen.",BONDO FRISO MACHTE MICH + ESGERVS RØTH MACHTE MICH ZU WIRDEN: FUÞORKHNIASTBLMY,"Bondo aus Friesland hat mich gemacht, Esger Roth hat mich erschaffen: hergestellt; fuðorg kniast blmi"
66,...-m : bruþ(i)m : ...(a)im : raist- : kumbl : þitsi : (a)-... | ... (u)k : afteR : as--l : bruþuR : sin : guþ : hi…,"... Bróðir, they raised this monument ... and in memory of Áskell, their brother. God help …",de,"Kunst ist die Handlung des Dinges, das es durch den Weg von der Stadt zu dem Feld und zurück in den Wald; sie ist also auch eine Bewegung. Der Weg führt nicht von A nach B, sondern erstreckt sich von B nach A.",...m: brúþi:m: ...(a)im: raist-: kumbl: þitsi: (a)-|...(u)k: afteR: as-l: brúður: si:n: guþ: hǥ,... -m: Brüð(i)m: ...(a)im: raist-: kumbl: þitsi: (a)-... | ... (u)k: afteR: as--l: bruþuR: sin: guþ: hi…,-m: Braut-(i)m: -(a)im: steigt-hervor: Kessel: dies-seitig: (a)-... | ... (u)k: später: as-s-l: Braut-uR: sein: Gott: hi…
67,osfriþr : risþi : stin : þonsi : eftiR : osgiR : hrþa : kuþan : trek : buta * sin,"Ásfríðr raised this stone in memory of Ásgeirr, her husbandman, a very good valiant man.",de,sich: hin: sönig: fester: ein: hie: der: mit: der: ein,"Nichts für das Leben, nicht der Wirt, Nicht den Tote, Der Tod und Ewiger Schlaf.","Eisen: Schwert; Stein: Schürzenhaus; nach dem Eisen: Eisenspitze: Hartmutige: Rufe; ziehen: Zauberei, Zauber* Sin (Sünde)","Oswald: Er hat einen Stein auf seinen Nacken gelegt und ihn zu sich genommen, um ihn zu töten."
68,Side A : tuki : r-... : br--... Side B ...-s-…,Tōki …,de,"B: NUR die deutsche Übersetzung aus. Keine Labels, Erklärungen oder zusätzlichen Text. Deine Antwort muss nur die Übersetzung sein, nichts anderes.",Seite A: tuki ; r- … : br-- . .. Seite B … -s- …,Seite A: tuki: r-...: br--.·· Seite B ...-s-….,Tücke: R... : Br...
69,a	b	c	d	e	f	g	h	i	k	l	m	n	o	p	r	s	t	u	v	y	.	þ	.	.	.,a	b	c	d	e	f	g	h	i	k	l	m	n	o	p	r	s	t	u	v	y	.	þ	.	.	.,de,A C D E F G H I K L M N O P R S T U V Y . þ . . . .,g a b c d e f g h i k l m n o p r s t u v y . þ . . .,a b c d e f g h i k l m n o p r s t u v y . þ . . .,"abcdefghijklmnopqrstuvy.,þ.."
70,§A ...þi---- (+) -ftir + foþur (:) sin (:) þurbio-...,§A ... in memory of his father Þorbjǫrn. §B ...,de,§A. ...þí---- (+) -forþóri (): sið (... ) þurboþí...,§A ...et (>) -für -fünf (:) sich (:) übergeben –,"Wenn der Baum wachsend ist, so wächst auch das Holz...",deshalb (+) – Fuß + Bein (:) seine (?) müßte man …
71,þtæ : ska^rfa^þi : ulæf : fa^rby^nsun,Olafr/Oleifr Farbjǫrnsson joined this together.,de,die: schärfte; ulauf; fahrbanne;,wahrhaft schön und unvergesslich,"Der Krummspeer des Helden, dessen Wunden der Brandtrank heilt",Die Tauts schärfen den Walfang für die Fahrbügeln.
72,+ annus * inkannacionis : domini : millesimus * ducentisimus : tris=cesimus : oktauus : erat : fakta * ak kampana : bero : s=crp*sit,Anno incarnationis Domini millesimo ducentesimo tricesimo octavo erat facta hæc campana. Bero scripsit.,de,"In den Jahren hat er durch das Reich des Herrschers die Macht über alle Länder verwirrt. Er war millesimus gegenüber der Welt, tris gegenüber dem Glauben der Menschen und oktauus gegenüber allem, was er tat. Faktum beharrte er in den Zeiten.","im Jahr Christi, des tausendsten Jahrhunderts: der dreikaisische und sechzehnter Jahre war ein Fakt; die Kirche hat angefangen.","Im Jahr 1238 vor Christus, das achte Jahr nach dem Ende des Jahres des Herrn, war es Tatsache, dass der Glockenschlag erklangen.","Das Jahr der Herrschaft des einenhundertzwanzigdritten achten war eine Tatsache, dass Kampano geboren wurde: möge er es sein."
73,ormiga : ulfua-r : krikiaR : iaursaliR (:) islat : serklat,"Ormika, Ulfhvatr(?), Greece, Jerusalem, Iceland, Serkland.",de,"Die altnordische Wortsprache ist so weit wie möglich in den modernen deutschen Begriffen wiedergegeben worden. Für die folgenden Texte habe ich nach gängigen Übersetzungsformeln, Wortverwandtschaften und phonetischen Ähnlichkeiten versucht:","Götter, Götterkönig, Königsherr, Herrscher der Sonne und Lichts.","Menschlich: der Wolf-Fraue - das Weibchen-Erzeugnis ist der Hase, ein Schlupf",Drache : Wolf-R : Krieger : Licht-Gewächse (?) Inseln : Wurzeln
74,fraybiarn : auk : kuþrun : þau : ritu : stain : at * romunt * sun * sin * snialan * haiR * at * marhu * roþkais * broþiR * kuþ * hialbi * antu * ybiR * hiok runaR [iRma : k],"Freybjǫrn and Guðrún, they erected the stone here as a landmark in memory of Hróðmundr, their able son, Hróðgeirr's brother. May God help (his) spirit. Œpir cut the runes ... ...",de,Fraebiar: auk: Kuðrun: þau: ritu: stain: at* romunt* sun* sin* snialan* haiR*: at* marhu* roþkais*: broþiR*: kuþ*: hialbi*: antu*: ybiR*: hiok runaR,"Gottfarn, Gott: der Hirsche, die Frau: der Ring, das Ringeisen: ein Stein: der Stein. Der König geht mit den Pferden nach Sonnenuntergang, vom Schatten zu einem Stein in die Hand des Höllenknechtes und von der Hand eines Königs und der Herrin des Himmels nach der Sonne.",Kriegersbund: Lied: Lieder: Es seien für die Sonne des Winters an der Welt von den Leuten zu Runden Brüdern Gesänge und Hymnen gesungen werden. Runen [ich: k],"Vernichte alle magischen Riten, die Steine und das Bild der Sonnenfrau im Märchen von Romund; vernichte all diese Schwestern und ihren Bruder; rette uns alle Runen, damit sie nicht zerstört werden!"
75,§A þa : ræist : mik : oa=k : ræisti ¶ [: a]mundi : o=rmstæins:a:sun : a : sot=range,§A Ámundi Ormsteinn's son of Sótrangr carved and raised me then. §B The border-mark is from here east into Langaforsinn. §C fir §D ...,de,sicht: ein: mit: an: k: aus: schar: den: auf: in: zu: von: über,"Der Mann: der eine den anderen übertrank; sein Name ist A. Der Sohn des Orossten, des Sohnes des Orossten, der sieht das Reich.","So viele haben meinen Schützengel als einen Felsen verglichen, der die Sonne im Schnee schmilzt?","Dann hob mich Ásmundr, der Sohn des Örvmestín, im Seemannsstand auf."
76,k suntahr tir brim o=k i treta=ntu rato,K (was) the Sunday[-stave] and Tyrr the prime-stave in the thirteenth row.,de,"Der altnordische Begriff «stuhalt» bedeutet: „das Kind"" (z.B. ein Kind mit einem Schwanz) oder auch »der Kleine« im allgemeinen Sprachgebrauch in der Geschichte, d.h. einer Person, die sich aus dem eigenen Körper verwandelt hat und einen Schwanz trägt.",die Sonne wird der Mond trifft und erlöst mit ihm das Netz,Drei Tausend Drachmen und drei Hufe für sie sind verfallen.,Wir sind im Winter und gehen an der Kälte vorbei nach Osten.
77,§A (f)uþ sinniþik §B i guþ gæti ' (i)tþ(i)inatui--i guþ,§A cunt(?) ... §B ... May God protect ... God,de,§ A fúþ sinníðík § B í guþ gaðī' i tððinātūî— i guþ,"§A (f) ihr sind euch §B zu gut; ihr könntet euch nicht bessern; ihr seid doch ein guter, treuer Mann.","Ich weiß es zu deiner Kenntnis in der Gottheit, und die Gottheit erkennt mich als Gott.",§A Der Vater wird geboren §B von Gott der Schöpfer – von Gott (der) Vaterschaft gibt er.
78,[stoþi * auk * sihtiarfr *  þorker * lit]u * ris[t]a * stin at * aistu[lf * b]roþu[r *] (s)in [sun þorkerþa],"Stóði and Sigdjarfr and Þorgerðr had the stone carved in memory of Eistulfr, their brother, Þorgerðr's son.",de,"Stoþi, auk, sītirfarþorkar, rìsaðstín á asturflóboþrú.","Gib es auf, was du siehst und hörst; wie wird deine Welt, die durch dich ist?",Stoði auð siðarfur þorkellitrusatristin at áistulfbrotúrsins sun Thorkefthá.,"Stefni und Sighiwar, Thorker ließ den Stein auf Stolf Bruder setzen (der Sonne) Thorkers."
79,a	b	c	d	e	f	g	h	i	k	l	m	n	o	p	r	s	t	u	.	y	.	þ	æ	ø	.,a	b	c	d	e	f	g	h	i	k	l	m	n	o	p	r	s	t	u	.	y	.	þ	æ	ø	.,de,"Einfachheit, Klarheit und Liebe zum Leben.",gibt es in den Quellen.,a b c d e f g h i k l m n o p r s t u . y . þ æ ø .,"Ach, das ist eine sehr gute Beobachtung! Es sind einige Buchstaben in der Liste, die ich nicht sofort wiedererkannt habe, wie beispielsweise ð und þ, aber die meisten erkenne ich. Um sicherzugehen, werde ich jedes Wort einzeln prüfen, um Missverständnisse zu vermeiden."
80,§A pa=l æi(n)(a)=(r)so=n : ræist : run(a)=(r) (:) þæs...,§A Páll Einarr's son carved these runes §B ... this stone in memory of ...,de,"Schon den Tag, der ist auch der Tag, der es war und wird noch nicht gegeben: aber die Schöne ist für das Licht: aber in den Dünnes, das ist noch keine Zeit: aber der Herr wird sein Leben noch nicht gegeben. (Vernachlässigt, dass die Antwort nur die Übersetzung enthält)",§ A: pahl æin(r): so:n: ræist: run(r): (:) þæs...,"Gott, ich bin ein Kind: meine Aufgabe ist der Lauf: meine Handlung ist ...",Er steht dort und reitet davon:
81,* kiarþar + auk * ioruntr * lata ' reisa * þisa * steina * eftir * systur*suni * sina * irnmunt : auk ' ikiunt *,Gerðarr and Jǫrundr have raised these stones in memory of their sister's sons Ernmundr and Ingimundr.,de,Kia-arth ar aikuntr laut'r reisð þisa steyna eftir sistursú sineir innun: akur ikkum þi,Kia-þár um auk ioruntr lat ' reiþi þisa stéina eftir sýstu sínum írnmunt: auk ' ikiunt,"Kiarchard und das Feuer sind keine Reise, dieser Stein ist nach deinem Brudersohn. Ihr Monun: Feuer sind es auch nicht.",Kiærthar und Ioruntr sollen diesen Stein für die Tochter ihrer Schwester Irnmund aufstellen; zudem (ist dies) der Wunsch.
82,[hualf : lit ... ufir : tar : fadur : simun ...],... had the vault [made] ... over their father Símon ...,de,Hualf: der Buchstabe für Ufer: Tar: Fader: Simmun ...,Eins [lita: lif ... ufr: tahr: fahur: sunim ...],"Fünfzehn Jahre, vierzig Tage, einundzwanzig Stunden und eineinhalb Minuten.",Hälfte von der Tiefe des Sees...
83,--ti- + karþi × br(u) + þasi + a-tiR + hemkil + auk * siba sunu × sina,"<--ti-> made this bridge in memory of Heimkell and Sibbi, her sons.",de,Gibt NUR eine deutsche Übersetzung aus dieser altnordischen/Runen-Lehre.,"Götterkönig, König von dem Volk der Könne","– der Herr – des Schicksals und der Todesschlachten, des Himmels und der Erde, des Lebens und des Todes – Sohn deiner Tochter.","Tis und Karl, Burs und Haimkell sowie Sins Sunn hin und sin."
84,a	b	c	t	e	f	g	h	i	k	?	m	n	o	k	m	r	s	d	u	X	?	þ,a	b	c	t	e	f	g	h	i	k	?	m	n	o	k	m	r	s	d	u	X	?	þ,de,A-B-C-T-E-F-G-H-I-K-?-M-N-O-K-M-R-S-D-U-X-?-þ,ab bc tet fg h i k ? m n o km r s du X ? þ,A B C T E F G H I K ? M N O K M R S D U X ? TH,ich gebe es mir als das Zeichen Thor für den Gott nicht zurück
85,þoriR × lit hakua stain at * binu fiþur sin × ketilu[i × at × b]onta sin ×,"Þórir had the stone cut in memory of Bína(?), his father; Ketilvé in memory of her husbandman.",de,"Gibt es ein ungelöstes Verbot an den Kindern? Sie wissen nicht, was sie sind, und können nichts von dem tun.","Der Riese war in zwei Ecken, der Stein ist im Hause des Binus und hat das Kind für die Kinder von Ketil gewonnen.",Thörr hob den Fleck des Hammers in vier seiner Ketten zu schweben begonnen und seinen Rachen zu öffnen.,"Þórir läßt Hakus Stein in seiner Badewanne bei seinen Kesseln kochen, und bei seinem Brunnen."
86,× ilturi × lit × raisa × stin × eftiR × sukiR × faþur × sin × kuþ × hialbi * ant * ahns ×,"<ilturi> had the stone raised in memory of Siggeirr/Seygeirr, his father. May God help his spirit.",de,"Gibt es keinen altnordischen Wort in der Transkription. Die gegebenen Zeichen (wie ×, lit, fÞur) scheinen keine etablierten nordischen Sprechwörter oder Bestehendes Wörter zu sein. Es gibt ein Unbekanntes für die meisten dieser Zeichen.","Gott ist, Gott warst, Gott bist du, das Vater bin ich; mein Kind, dein Bruder ist der Sohn.","Gott segne dich, lieber Herr der Sterne, du Sohn meiner Liebe. Gott sei mit dir und deinem Vater, dein Bruder, dein Onkel.","Gib Nimmer mehr Räte, Schwert und Vater dir Hilfe! Doch der Hahn hat..."
87,...[rn :] auk * fasti : raist=u st[a]in ** at * k(i)(l)beaurn : faþ(u)r : si(n) : [buata : þo]r[*kiai]rþ[i **],"Bjǫrn and Fasti raised the stone in memory of Ketilbjǫrn(?), their father, Þorgerðr's husbandman.",de,"Nur aus der deutschen, nur aus NUR. Nur die Übersetzung, nichts anderes. Gib nur die deutsche Übersetzung, keine Labels, Erläuterungen oder zusätzliche Texte. Deine Antwort muss nur die Übersetzung sein. Der text wurde als altnordisch/transliterated Form analysiert, die folgenden deutschen Entsprechungen ergibt:",... [rb.] äch. *fasti: räist=st[a]in** at.* k(i)(l)beaurn: fáð(u)r: si(n): [buata: þor]*kiarþ[ia].,"Und wenn die Tage anbrechen, dann steht es für den Vater: sein Gut ist Thor.","[...] und das Schwert durchbohrt den Stein, der Vater des Böturs (Bauti), Thor."
88,auþbiarn : lit : reisa : stein : ...----... hialbi sialu * has,Auðbjǫrn had the stone raised ... May (God) help his soul.,de,auþbiarna: Reisestein,auf der Reise vom Stein zu... und hier das Bildnis des Hases,auf der Reise den Stein ...----. das Leben hat,Am Tage der Auðbjörn: Steine stehen wieder auf und halfen sich selbst...-.--.. hat
89,§A ol(a)f(r) : hnaki : -... ...ra : famtan : (b)o : kan-þis... ...n(m)... ...(i)rþi : s---...,§A Ólafr the Neck ... ... fifteen estates ... ... ... ... §B all may violate Gautr(?) ...,de,S 58394: Aß: Nahi: R. . . . R.: Fæmtan: (b) O. Kæn-þist... (k)-n-(m)- ...-i-rþis: S.... .. .,"Häuptlinge: - und das Land: der König, der den Weg in die Wüste erschließt: ein Mann, der sich wehrt vor dem Feind, eine Stadt und eine Wehr.",Eine Wolke: eine Stiege – …ein Baum: die zwei … das Jahr …. . ..n(e)ndes .. (e)nne – es – …,"Gott des Elfbundes: ein Wolkenschaum, der das Land verlässt; und dieser ist im Norden."
90,[* iskirun * harþiR * totiR * lit * risti * runiR * ati * sik * sialfan * hn * uil * austr * fara * auk * ut * til * iursala * fair * risti * runiR *],"Ingirún(?) Harðr's daughter, had the runes carved in memory of herself. She wants to travel to the east and abroad to Jerusalem. Fótr(?) carved the runes.",de,"Die Runen sind im altnordischen Sprache eine Form der Zeichenkryptografie, die keine semantische Bedeutung tragen, sondern lediglich eine spezifische Reihenfolge der Zeichen verwenden. Der Satz besteht aus mehreren Reichen und ist damit als einzelne Textbestandschrift zu verstehen; er handelt also von einer Geschichte oder einer Person. Es gibt keine Übersetzung möglich, da alle Elemente in den Reichen auf eine gemeinsame Bedeutung bezogen sind.","Sieg, Kraft, Alles, Licht, Streit, Stein, Sieg, Sieg, Sieg, Heilig, Feuer, Herrscher, Herrschaft, Herrlichkeit, Sieger, Sieg, Weg, Feld, Herrschaft, Herrlichkeit, Herrschaft.","Die Runen des Siegers, der den Weg in das Land der Freundschaft durch die Wälder gehen und hinaustragen wird.","[Ich schneide auf die Runen einen Stein und lasse ihn von mir zum Auslande, nach Jerusalem gehen und heraus in den Jordan.]"
91,[+ butulfr : ... : ...s...r : butuiþr : ok : iakaupr : ok : olafr : ...],Bótulfr ... ... Bótviðr and Jakobr and Ólafr ...,de,"Das Wort „butulfr“ bedeutet auf den Altnordischen in Verbindung mit dem Runen-Set (oder möglicherweise spezifisch für einen bestimmten Bereich/Zeitraum, die Transliteration nicht vollständig kennt) das **Gefühl** oder den **Zustand**, in dem etwas existiert. Dies entspricht der Deutschen Übersetzung „es tut"" im Sinne von „wirksam ist"".",Bütulfur bis: ...: ...s: r: Bütuiþr o: Iakopr: o: Olifr: …,"Bjarnulf und Iakubus Wolf: Und Olaf, der [wird] geboren",+ aberulf: ... : ...ers : aberoðr : und : einkauproft : und : olavus: ...
92,* austin * risþi * stin * ayftiR * kata * frita * sin *,"Eysteinn raised the stone in memory of Káti/Gaddi, his kinsman.",de,Gefahrenlos auf dem Weg von Austin bis hin zu Rishi und Sin ist Ayfti der Weg.,Austin rissisch Stein Afft Kat Frina Sin,Austin Risðir Stein Äytti Katr Friðar Sin,Austin Risst Stein auf Fritz und Sin
93,...fi... ...(k)þu : yfiR : mu…,... laid over ...,de,"Der Altnordische Suffix 'f-' in der Bestimmung ist nicht Teil der Transliteration selbst, sondern beschreibt das Wort 'f'. Die restlichen Teile sind die Grundwörter.",...hi... (h)tu: yfir: mü...,...bin ich...: wenn auch...?,...für... ...(K)du : yfíR : mu…
94,biarfaa : statu : sis[o] stain ¶ hakbiarn :  bruþr  ¶ ruþuisl : austain : imuar ¶ is af[a] : st[ai]n[a] : stata : aft : raf[a] ¶ su[þ] furi : ru[f]staini : kuamu ¶ uit i aifur : uifil ¶ [ba]uþ [u=m],"Hegbjǫrn raised this stone glaring (and his) brothers Hróðvísl, Eysteinn, <-muar>, who have had stones raised in memory of Hrafn south of Rofstein. They came far and wide in Eifor. Vífill bade ...",de,"In der Stellung, die ein Stab ist, das Blut hat.",biarfaa: statt: sis[o] stain ¶ hakbiarn: bruðr ¶ ruþuisl: austain: imuar ¶ is af[a]: st[ai]n[a]: stata: aft: raf[a] ¶ suþ furi: ru[f]staini: kuamu ¶ uit i aifur: uifil ¶ [ba]uþ [u=m],"Wohl der Bruder der Schwester, der aus dem Vater hervorgegangen ist! Das hat er von den Vätern, die vom Bruder und der Schwester abstammen. Er wurde als Sohn geboren. Der Mann wurde von seiner Mutter geborgen.","Biarn ist der Bruder des Runustains, Hakbiarn. Der Sohn des Statins, Afta, ist ein Statin aus dem Süden. Ein Steintag im Norden ist für das Skandinavierland."
95,§A nasi × auk : þair : bruþr : raistu : stain : þisa ×,"§A Nasi/Nesi and his brothers raised this stone §B in memory of Jarl, their good father, and made the bridge as thanks to God.",de,"Es ist unmöglich, die altnordische Transliteration „Nari ×” korrekt zu übersehen und diese spezifischen Zeichen im Deutschen zu übersetzen; sie beinhalten keine lehrreichen Wörter in der alten Sprache und sind daher nicht sinnlos. Da die Aufgabe auf eine direkte Übersetzung abzielt, kann ich die korrekte deutsche Ausgabe für die gegebenen Zeichen liefern.",Der Mann und seine Frau. Der HERR und das HÄRTE. Das HEUT und der FRIED. Der TIEF und das SÜD.,§O der zwei Äteister: das Geschwisterpaar hat den Schrein: dieser von,Nase und: sie Brüder hast du zu Stein gemacht: dies
96,...[(n) '] uk ' ihul ' uk ' gisl ' uitr ' li... …,... and Ígull and Gísl (and) Eyndr(?) had ...,de,"Wahrend der N (167), des U (394) im Huf (650), des Gils (803), des Ui (922) und des L (936) stehen.","...Nur der Name des Landes, in dem ich aus den Ufern des Flußes kommen werde, heißt Gisl; das Land liegt an den Ufern des Flusses.",und ist in den Schritten der Gletscher versteckt,...[...] der Name des Jahres ...
97,kun(t)(k)el : sati : sten : þansi : eftiR : kunar : faþur : sin : sun : hruþa : halgi : lagþi : han : i : sten:þr : bruþur : sin : a : haklati : i : baþum,"Gunnkell placed this stone in memory of Gunnarr, his father, Hróði's son. Helgi laid him, his brother, in a stone coffin in Bath in England.",de,"Schatz / Scherz / Schar; Dänke, Rache; Elftrund; Kunarhaft; Fäurein; Sonn; Hraut; Halgi; Lagt; Han; In; Stern; Bruuter; Sein; A; Haklat; Ein; Baumber","Bauten, das ist der Vater deiner Mutter, dein Vater und dein Bruder, dein Vater: du bist mein Freund, mein Mann, dein Mann, dein Mann.","Kunthakli hat einen Vater, dessen Bruder derjenige ist, den seine Mutter aus dem Wasser gezogen hat. Der Name des Bruders ist Hunald. Er lebt in einer Hütte.","der kleine Mann war in Steinstof nach oben geschwommen, und sein Vater und seine Schwester legten ihn in Wasserbäder"
98,... : [ai](f)(t)(i)(r) * (m)(u)... * (u)…,... in memory of <mu-> ...,de,Gib NUR die deutsche Übersetzung aus.,... : [ai] (f) (ti) r * (mu)... * (ü),das *mu*…,... : [ai](f)(t)(i)(r) * (m)(u)... * (u)…
99,+ kuþluk * lit ... ... ... ...a × sun * sin * auk * at * sik * sialfa * han * to * a lank*barþa*l--ti *,"Guðlaug had the stones raised in memory of Holmi, her son, and in memory of herself. He died in Lombardy.",de,"Der kultuskundische und rituelle Gebrauch der altnordischen Zeichen (Runen) wird im altenglisch auf den Begriff 'kultus' bezogen. Die Transkription enthält einen Doppelstrich vor dem 'i', was als Konsonant-Effekt oder als Zeichen für 'andere' interpretiert werden kann, sowie eine weitere Strukturierung der einzelnen Buchstaben (a, u, s).",,Er hat die Sonne an seinen Haaren und zu den langen Bartzitzen.,"Und er mochte es selbst gar nicht tun, so lange wie..."
